,first,last,nickname,height_inches,weight_lbs,reach_inches,stance,win,loss,draw,belt
801,Nick,Ertl,,69.0,155,--,,8.0,6.0,0.0,
802,Chel,Erwin-Davis,The First Sun,72.0,170,--,,2.0,1.0,0.0,
803,Bobby,Escalante,,,130,--,,3.0,3.0,0.0,
804,Eric,Esch,Butterbean,71.0,350,--,Orthodox,14.0,10.0,1.0,
805,Pro,Escobedo,,,205,--,,1.0,0.0,0.0,
806,Cole,Escovedo,Apache Kid,67.0,135,72.0,Orthodox,17.0,8.0,0.0,
807,Efrain,Escudero,Hecho En Mexico,69.0,155,70.0,Orthodox,25.0,11.0,0.0,
808,Evan,Esguerra,,,145,--,,3.0,4.0,0.0,
809,Carla,Esparza,Cookie Monster,61.0,115,63.0,,14.0,6.0,0.0,
810,Juan,Espino,El Guapo,76.0,250,82.0,,10.0,1.0,0.0,
811,Jordan,Espinosa,,66.0,125,71.0,Orthodox,12.0,5.0,0.0,
812,Jodie,Esquibel,,63.0,115,64.0,Orthodox,6.0,4.0,0.0,
813,Terry,Etim,,73.0,155,73.0,Orthodox,15.0,5.0,0.0,
814,Fred,Ettish,,72.0,180,--,Southpaw,1.0,1.0,0.0,
815,Scott,Ettling,,,135,--,,4.0,2.0,0.0,
816,Sijara,Eubanks,Sarj,64.0,125,67.0,,5.0,2.0,0.0,
817,Billy,Evangelista,,68.0,155,68.0,Orthodox,11.0,2.0,0.0,
818,Rashad,Evans,Suga,72.0,205,75.0,Orthodox,24.0,8.0,1.0,
819,Doug,Evans,,69.0,155,--,Orthodox,13.0,9.0,0.0,
820,Ashlee,Evans-Smith,Rebel Girl,68.0,125,67.0,Orthodox,6.0,3.0,0.0,
821,Dan,Evensen,The Viking,75.0,250,--,Orthodox,11.0,4.0,0.0,
822,Tonya,Evinger,Triple Threat,67.0,135,70.0,Orthodox,19.0,7.0,0.0,
823,Andre,Ewell,Mr. Highlight,71.0,135,76.0,Southpaw,14.0,5.0,0.0,
824,Neal,Ewing,,,185,--,,6.0,0.0,0.0,
825,Jessica,Eye,Evil,66.0,125,66.0,Orthodox,14.0,6.0,0.0,
827,Edward,Faaloloto,,,155,70.0,,2.0,3.0,0.0,
828,Urijah,Faber,The California Kid,66.0,135,67.0,Orthodox,34.0,10.0,0.0,
829,Melinda,Fabian,,66.0,125,66.0,,4.0,4.0,2.0,
830,Wagnney,Fabiano,The Silencer,66.0,145,69.0,Southpaw,14.0,3.0,0.0,
831,Bartosz,Fabinski,The Butcher,72.0,170,75.0,Orthodox,14.0,3.0,0.0,
832,Ron,Faircloth,,69.0,205,--,Orthodox,33.0,20.0,0.0,
833,Jason,Fairn,,73.0,230,--,,4.0,5.0,0.0,
834,Maiquel,Falcao,Big Rig,71.0,185,--,Orthodox,28.0,4.0,0.0,
835,Brodie,Farber,,73.0,170,--,Orthodox,14.0,6.0,0.0,
836,Joao Paulo,Faria,,69.0,155,--,,1.0,1.0,0.0,
837,Kalindra,Faria,,67.0,125,--,Switch,18.0,8.0,1.0,
838,Chance,Farrar,,69.0,145,--,Southpaw,8.0,3.0,0.0,
839,Kelly,Faszholz,,68.0,135,67.0,Orthodox,3.0,2.0,0.0,
840,Rodney,Faverus,,72.0,215,--,Southpaw,25.0,19.0,3.0,
841,Paul,Felder,The Irish Dragon,71.0,170,70.0,Orthodox,15.0,4.0,0.0,
842,Carlos,Felipe,Boi,72.0,245,--,,8.0,0.0,0.0,
843,JP,Felty,,,170,--,,1.0,2.0,0.0,
844,Kevin,Ferguson,Kimbo Slice,74.0,235,--,Orthodox,5.0,2.0,0.0,
845,Rhadi,Ferguson,,67.0,205,--,,3.0,0.0,0.0,
846,Tony,Ferguson,El Cucuy,71.0,155,76.0,Orthodox,25.0,3.0,0.0,
847,Josh,Ferguson,Taz,65.0,125,66.0,Orthodox,7.0,5.0,0.0,
848,CJ,Fernandes,,74.0,170,--,,14.0,8.0,3.0,
849,Bibiano,Fernandes,,67.0,139,--,Orthodox,10.0,3.0,0.0,
850,Alexandre,Ferreira,Cacareco,67.0,205,--,Orthodox,18.0,6.0,0.0,
851,Cezar,Ferreira,Mutante,73.0,185,78.0,Southpaw,14.0,7.0,0.0,
852,Diego,Ferreira,,69.0,155,74.0,Orthodox,14.0,2.0,0.0,
853,Scott,Ferrozzo,The Pitbull,71.0,323,--,Orthodox,4.0,2.0,0.0,
854,Drew,Fickett,The Master,70.0,155,70.0,Orthodox,41.0,16.0,0.0,
855,Scott,Fiedler,,76.0,235,--,Orthodox,0.0,1.0,0.0,
856,Ron,Fields,Killing,74.0,200,--,Orthodox,25.0,30.0,1.0,
857,Deiveson,Figueiredo,Deus da Guerra,65.0,125,68.0,Orthodox,15.0,0.0,0.0,
858,Anthony,Figueroa,,64.0,135,--,Orthodox,5.0,6.0,1.0,
859,Edwin,Figueroa,El Feroz,67.0,135,69.0,Orthodox,9.0,4.0,0.0,
860,Paulo,Filho,,68.0,185,--,Southpaw,22.0,4.0,2.0,
861,Andre,Fili,Touchy,71.0,145,74.0,Orthodox,18.0,6.0,0.0,
862,Mirko,Cro Cop,Cro Cop,74.0,230,73.0,Southpaw,31.0,11.0,2.0,
863,Brady,Fink,,72.0,183,--,Orthodox,2.0,3.0,0.0,
864,Jesse,Finney,,72.0,170,--,,6.0,1.0,0.0,
865,Jan,Finney,Cuddles,68.0,135,--,Orthodox,8.0,10.0,0.0,
866,Luigi,Fioravanti,,68.0,170,70.0,Orthodox,22.0,11.0,0.0,
867,Luiz,Firmino,Buscape,66.0,154,--,Orthodox,13.0,6.0,0.0,
868,Spencer,Fisher,The King,67.0,155,70.0,Southpaw,25.0,9.0,0.0,
869,Chris,Fishgold,,68.0,145,--,Orthodox,17.0,2.0,1.0,
870,Bryanna,Fissori,,64.0,145,--,,2.0,4.0,0.0,
871,Jon,Fitch,,72.0,170,76.0,Orthodox,27.0,5.0,1.0,
872,Rafael,Fiziev,Ataman,68.0,155,--,,5.0,0.0,0.0,
873,Colin,Fletcher,The Freakshow,74.0,155,78.0,Orthodox,9.0,3.0,0.0,
874,Luke,Flores,Luke,72.0,155,--,Southpaw,7.0,1.0,0.0,
875,Kenny,Florian,KenFlo,70.0,145,74.0,Southpaw,14.0,6.0,0.0,
876,Cody,Floyd,,,--,--,,2.0,0.0,0.0,
877,Bobby,Flynn,,,170,--,,6.0,4.0,0.0,
878,Caros,Fodor,The Future,69.0,155,76.0,Orthodox,7.0,3.0,0.0,
879,Mal,Foki,Twin Tiger,67.0,220,--,Orthodox,5.0,5.0,0.0,
880,Matt,Foki,Twin Tiger,67.0,220,--,Orthodox,5.0,4.0,0.0,
881,AJ,Fonseca,,64.0,145,--,,5.0,4.0,0.0,
882,Rob,Font,,68.0,135,71.0,Orthodox,16.0,4.0,0.0,
883,Claudionor,Fontinelle,,65.0,185,--,Orthodox,9.0,13.0,1.0,
884,Jesse,Forbes,Kid Hercules,74.0,185,75.0,Southpaw,15.0,5.0,0.0,
885,Sterling,Ford,,70.0,155,--,,13.0,5.0,0.0,
886,Codale,Ford,Crunch Time,69.0,170,--,,11.0,9.0,0.0,
887,Renee,Forte,,67.0,155,71.0,Orthodox,8.0,4.0,0.0,
888,Marcel,Fortuna,Maozinha,73.0,205,74.0,Orthodox,9.0,3.0,0.0,
889,Brian,Foster,The Foster Boy,69.0,170,71.0,Orthodox,18.0,5.0,0.0,
890,Xavier,Foupa-Pokam,Professor X,73.0,185,--,Open Stance,21.0,16.0,0.0,
891,Mason,Fowler,,71.0,170,--,,2.0,0.0,0.0,
892,Brandon,Foxworth,,71.0,145,--,Orthodox,18.0,4.0,0.0,
893,Hermes,Franca,,66.0,155,71.0,Orthodox,22.0,12.0,0.0,
894,Glaico,Franca,Nego,72.0,155,77.0,,14.0,5.0,0.0,
895,Francisco,France,Kiko,72.0,205,--,,7.0,3.0,1.0,
896,John,Franchi,,66.0,145,67.0,Orthodox,6.0,2.0,0.0,
897,Rich,Franklin,Ace,73.0,185,75.0,Southpaw,29.0,7.0,0.0,
898,Zoila,Frausto,Warrior Princess,64.0,135,--,Orthodox,11.0,1.0,0.0,
899,Zane,Frazier,Nasty,77.0,250,--,Orthodox,4.0,11.0,0.0,
900,Gary,Frazier,,72.0,245,--,Orthodox,1.0,2.0,0.0,
901,Justin,Frazier,The Grizzly Bear,72.0,265,75.0,Southpaw,11.0,3.0,0.0,
902,Ian,Freeman,The Machine,71.0,225,--,Orthodox,19.0,7.0,1.0,
903,Jason,Freeman,,74.0,225,--,,6.0,4.0,0.0,
904,Willamy,Freire,Chiquerim,68.0,155,--,,19.0,5.0,0.0,
905,Patricio,Freire,Pitbull,65.0,145,65.0,,26.0,4.0,0.0,
906,Patricky,Freire,Pitbull,67.0,155,71.0,,17.0,8.0,0.0,
907,Rafael,Freitas,Capoeira,,205,--,Orthodox,4.0,6.0,0.0,
908,Donavon,Frelow,,67.0,135,--,Orthodox,6.0,3.0,0.0,
909,Clay,French,,67.0,161,--,Southpaw,19.0,6.0,0.0,
910,Mike,French,,70.0,145,--,,8.0,9.0,0.0,
911,Matt,Frevola,The Steamrolla,69.0,155,71.0,Orthodox,6.0,1.0,1.0,
912,Artem,Frolov,,70.0,185,--,,11.0,0.0,0.0,
913,Sarah,Frota,A Treta,66.0,115,--,Southpaw,9.0,0.0,0.0,
914,Don,Frye,The Predator,73.0,219,--,Orthodox,20.0,9.0,1.0,
915,Tony,Fryklund,The Freak,72.0,185,--,Orthodox,14.0,9.0,1.0,
916,Jesse,Fujarczyk,The Ronin,76.0,225,--,Southpaw,3.0,2.0,0.0,
917,Katsuhisa,Fujii,Shamoji,72.0,205,--,Orthodox,9.0,18.0,1.0,
918,Megumi,Fujii,Mega Megu,63.0,113,--,,26.0,3.0,0.0,
919,Kazuyuki,Fujita,Ironhead,72.0,235,--,Orthodox,15.0,9.0,0.0,
920,Keisuke,Fujiwara,,66.0,139,--,Switch,11.0,4.0,4.0,
921,Riki,Fukuda,,72.0,185,73.0,Southpaw,19.0,7.0,0.0,
922,Masio,Fullen,Lobo,70.0,145,70.0,Orthodox,10.0,6.0,0.0,
923,Travis,Fulton,The Ironman,72.0,240,--,Orthodox,127.0,49.0,10.0,
924,Sam,Fulton,,,--,--,,0.0,2.0,0.0,
925,Masakatsu,Funaki,,72.0,185,--,Southpaw,39.0,13.0,1.0,
926,Ricardo,Funch,Golden Boy,70.0,170,76.0,Southpaw,8.0,4.0,0.0,
927,Katsuaki,Furuki,,72.0,168,--,,1.0,1.0,0.0,
929,James,Gabert,,,178,--,,6.0,4.0,0.0,
930,Gustavo,Gabriel,,66.0,125,--,Orthodox,13.0,1.0,0.0,
931,Claudia,Gadelha,Claudinha,64.0,115,63.0,Orthodox,16.0,4.0,0.0,
932,Alavutdin,Gadjiev,,74.0,185,--,Orthodox,18.0,12.0,1.0,
933,Justin,Gaethje,The Highlight,71.0,155,70.0,Orthodox,19.0,2.0,0.0,
934,Sheila,Gaff,The German Tank,65.0,135,62.0,Orthodox,10.0,6.0,1.0,
935,Mitch,Gagnon,,65.0,135,65.0,Southpaw,12.0,4.0,0.0,
936,Brandon,Gaines,,75.0,185,--,,5.0,16.0,0.0,
937,Travis,Galbraith,The Gladiator,72.0,170,--,Orthodox,18.0,7.0,0.0,
938,Dave,Galera,Scarecrow,71.0,135,--,Orthodox,5.0,1.0,0.0,
939,Zelg,Galesic,Benkei,74.0,185,--,Orthodox,10.0,6.0,0.0,
940,Mickey,Gall,,74.0,170,74.0,Switch,5.0,1.0,0.0,
941,Daniel,Gallemore,Big Kansas,77.0,265,--,,7.0,3.0,0.0,
942,Tom,Gallicchio,Da Tank,70.0,170,73.0,Southpaw,19.0,11.0,0.0,
943,Turrell,Galloway,,63.0,145,--,,5.0,2.0,0.0,
944,Eric,Galvan,,,155,--,,0.0,0.0,0.0,
945,Andre,Galvao,,67.0,168,--,Orthodox,5.0,2.0,0.0,
946,Marcos,Galvao,Louro,67.0,135,--,Orthodox,11.0,5.0,1.0,
947,Lucas,Gamaza,,,170,--,,5.0,2.0,0.0,
948,Joey,Gambino,The Raging Warrior,67.0,145,--,Orthodox,9.0,2.0,0.0,
949,Manvel,Gamburyan,The Anvil,65.0,135,67.0,Orthodox,18.0,11.0,0.0,
950,Ariel,Gandulla,,71.0,205,--,Orthodox,6.0,6.0,0.0,
951,Sean,Gannon,The Cannon,75.0,265,--,Southpaw,2.0,1.0,0.0,
952,Cody,Garbrandt,No Love,68.0,135,65.0,Orthodox,11.0,2.0,0.0,
953,Leonard,Garcia,Bad Boy,70.0,145,69.0,Orthodox,19.0,11.0,1.0,
954,Edgar,Garcia,,70.0,170,71.0,Orthodox,14.0,5.0,0.0,
955,Alejandro,Garcia,Alex,67.0,145,--,,14.0,5.0,0.0,
956,Alex,Garcia,The Dominican Nightmare,69.0,170,72.0,Orthodox,15.0,6.0,0.0,
957,Nick,Garcia,Nitro,64.0,125,--,,8.0,3.0,0.0,
958,Steve,Garcia,Mean Machine,72.0,135,--,,7.0,2.0,0.0,
959,Elias,Garcia,,65.0,125,67.0,Southpaw,6.0,2.0,0.0,
960,Rulon,Gardner,,75.0,265,--,Orthodox,1.0,0.0,0.0,
961,David,Gardner,,71.0,155,--,Orthodox,18.0,19.0,0.0,
962,Pablo,Garza,The Scarecrow,73.0,145,73.0,Orthodox,13.0,4.0,0.0,
963,Azamat,Gashimov,,66.0,125,66.0,Orthodox,10.0,3.0,0.0,
964,Brian,Gassaway,,73.0,170,--,Orthodox,29.0,20.0,2.0,
965,Kelvin,Gastelum,,69.0,185,71.0,Southpaw,16.0,3.0,0.0,
966,Willie,Gates,Whoop Ass,68.0,125,70.0,Orthodox,12.0,7.0,0.0,
967,Louis,Gaudinot,Goodnight,63.0,125,63.0,Orthodox,6.0,4.0,0.0,
968,Charlene,Gellner,Princess,62.0,125,--,,0.0,2.0,0.0,
969,Chad,George,Savage,66.0,135,68.0,Southpaw,13.0,6.0,0.0,
970,Paul,Georgieff,,74.0,170,--,Orthodox,6.0,2.0,0.0,
971,Brian,Geraghty,Duke,67.0,155,--,Orthodox,24.0,17.0,1.0,
972,Derek,Getzel,The Pretzel,72.0,155,--,,3.0,2.0,0.0,
973,Karine,Gevorgyan,The Princess,64.0,125,63.0,,3.0,3.0,0.0,
974,Darrel,Gholar,,68.0,194,--,Orthodox,5.0,6.0,0.0,
975,Tiki,Ghosn,,70.0,170,--,Orthodox,10.0,7.0,1.0,
976,Christos,Giagos,The Spartan,70.0,155,71.0,Orthodox,16.0,7.0,0.0,
977,Joe,Giannetti,Skeletor,72.0,155,74.0,Southpaw,7.0,1.0,0.0,
978,Nick,Gibbons,,70.0,155,--,,2.0,1.0,0.0,
979,James,Giboo,,71.0,170,--,Orthodox,13.0,5.0,0.0,
980,Lance,Gibson,Fearless,69.0,185,--,Orthodox,4.0,5.0,0.0,
981,Lee,Gibson,Lethal,67.0,155,--,,12.0,3.0,0.0,
982,Cody,Gibson,The Renegade,70.0,135,71.0,Orthodox,12.0,6.0,0.0,
983,Kenny,Giddens,,71.0,155,--,,12.0,7.0,0.0,
984,Joe,Gigliotti,Capo,71.0,185,69.0,Orthodox,7.0,2.0,0.0,
985,Joey,Gilbert,,71.0,155,--,Orthodox,2.0,3.0,0.0,
986,Trevin,Giles,,72.0,185,74.0,Orthodox,11.0,0.0,0.0,
987,Kultar,Gill,Black Mamba,72.0,154,--,Orthodox,10.0,8.0,0.0,
988,Jesse,Gillespie,,,185,--,,3.0,2.0,0.0,
989,Gregor,Gillespie,The Gift,69.0,155,71.0,Orthodox,12.0,0.0,0.0,
990,Jason,Gilliam,,72.0,170,--,Orthodox,14.0,5.0,0.0,
991,Krishaun,Gilmore,,,--,--,,0.0,1.0,0.0,
992,Alex,Gilpin,,67.0,145,72.0,Orthodox,11.0,1.0,0.0,
993,Bob,Gilstrap,,75.0,200,--,Orthodox,5.0,6.0,0.0,
994,Demetrius,Gioulacos,,71.0,185,--,,0.0,1.0,0.0,
995,Billy,Giovanella,Wolverine,68.0,125,--,,9.0,5.0,0.0,
996,He-Man,Gipson,,,--,--,,1.0,2.0,0.0,
997,Israel,Giron,El Rojo,68.0,155,--,,19.0,5.0,0.0,
998,Brandon,Girtz,Cold Roll,67.0,155,--,,14.0,7.0,0.0,
999,Jason,Glaza,,72.0,230,--,,3.0,2.0,0.0,
1000,Mike,Glenn,,,205,--,,5.0,6.0,0.0,
1001,Rick,Glenn,The Gladiator,72.0,145,70.0,Southpaw,21.0,6.0,1.0,
1002,Mark,Godbeer,The Hand Of,76.0,240,77.0,Orthodox,13.0,4.0,0.0,
1003,Clint,Godfrey,,66.0,135,--,Southpaw,12.0,3.0,0.0,
1004,Jason,Godsey,,74.0,230,--,Orthodox,16.0,16.0,0.0,
1005,Allan,Goes,,72.0,205,--,Orthodox,10.0,5.0,2.0,
1006,Jonny,Goh,,71.0,155,--,,3.0,4.0,0.0,
1007,Marcelo,Golm,,75.0,249,75.0,Orthodox,6.0,2.0,0.0,
1008,Sergio,Gomez,,66.0,155,--,Orthodox,10.0,3.0,0.0,
1009,Frank,Gomez,,70.0,135,67.0,Orthodox,10.0,4.0,0.0,
1010,Alan,Gomez,,,155,--,,2.0,0.0,0.0,
1011,David,Gomez,,,155,--,,1.0,2.0,0.0,
1012,Ulysses,Gomez,Useless,66.0,125,66.0,Orthodox,9.0,4.0,0.0,
1013,Joey,Gomez,,70.0,155,71.0,Orthodox,7.0,1.0,0.0,
1014,Luis,Gomez,Tiger Junior,67.0,145,68.0,Orthodox,4.0,1.0,0.0,
1015,Silvana,Juarez,La Malvada,63.0,125,--,Orthodox,6.0,2.0,0.0,
1016,Takanori,Gomi,The Fireball Kid,67.0,155,70.0,Southpaw,35.0,14.0,0.0,
1017,Akihiro,Gono,,67.0,170,68.0,Switch,32.0,16.0,7.0,
1018,Gabriel,Gonzaga,Napao,74.0,242,76.0,Orthodox,17.0,11.0,0.0,
1019,Fernando,Gonzalez,The Menifee Maniac,69.0,170,68.0,Southpaw,19.0,11.0,0.0,
1020,Nick,Gonzalez,The Ghost,66.0,155,--,Orthodox,17.0,9.0,0.0,
1021,Fabian,Gonzalez,,70.0,135,--,,2.0,1.0,0.0,
1022,Lewis,Gonzalez,Lethal,70.0,170,73.0,Orthodox,10.0,2.0,0.0,
1023,Jason,Gonzalez,Nicoya,74.0,155,74.0,Southpaw,11.0,4.0,0.0,
1024,Pearl,Gonzalez,,64.0,115,68.0,Orthodox,6.0,3.0,0.0,
1025,Kier,Gooch,,,155,--,,2.0,7.0,0.0,
1026,Lyman,Good,Cyborg,72.0,170,74.0,Orthodox,20.0,4.0,0.0,
1027,Gary,Goodridge,Big Daddy,75.0,249,--,Orthodox,23.0,22.0,1.0,
1028,Jordan,Goodwin,,,155,--,,0.0,0.0,0.0,
1029,Gerard,Gordeau,,77.0,216,--,Orthodox,2.0,2.0,0.0,
1030,Eddie,Gordon,Truck,72.0,185,76.0,Orthodox,8.0,4.0,0.0,
1031,Jared,Gordon,Flash,69.0,155,68.0,Orthodox,14.0,3.0,0.0,
1032,Tebaris,Gordon,Boom,73.0,265,78.0,Orthodox,3.0,1.0,0.0,
1033,Alex,Gorgees,Hitman,74.0,155,74.0,Switch,7.0,1.0,0.0,
1034,Tim,Gorman,The Psycho,65.0,135,68.0,Southpaw,9.0,4.0,0.0,
1035,Chase,Gormley,,75.0,265,--,Orthodox,7.0,4.0,0.0,
1036,Jonathan,Goulet,The Road Warrior,72.0,170,73.0,Orthodox,23.0,12.0,0.0,
1037,Thibault,Gouti,GT,70.0,155,72.0,Orthodox,12.0,5.0,0.0,
1038,Wilson,Gouveia,,73.0,185,76.0,Orthodox,12.0,8.0,0.0,
1039,Todd,Gouwenberg,,73.0,205,--,Orthodox,9.0,5.0,0.0,
1040,Hugo,Govea,,,--,--,,0.0,1.0,0.0,
1041,Justin,Governale,The Therapist,,145,--,,5.0,5.0,0.0,
1042,Damian,Grabowski,The Polish Pitbull,73.0,241,75.0,Orthodox,20.0,5.0,0.0,
1043,Royce,Gracie,,73.0,175,--,Southpaw,14.0,2.0,3.0,
1044,Crosley,Gracie,,69.0,190,--,Orthodox,2.0,2.0,0.0,
1045,Daniel,Gracie,,74.0,225,--,Orthodox,5.0,4.0,1.0,
1046,Ralph,Gracie,,69.0,183,--,Orthodox,6.0,1.0,0.0,
1047,Renzo,Gracie,,70.0,185,--,Orthodox,14.0,6.0,1.0,
1048,Rickson,Gracie,,70.0,185,--,Switch,11.0,0.0,0.0,
1049,Rodrigo,Gracie,,72.0,183,--,Orthodox,6.0,2.0,1.0,
1050,Royler,Gracie,,68.0,150,--,Southpaw,5.0,5.0,1.0,
1051,Ryan,Gracie,,69.0,200,--,Orthodox,5.0,2.0,0.0,
1052,Ralek,Gracie,,74.0,210,--,Orthodox,3.0,1.0,0.0,
1053,Rolles,Gracie,,76.0,242,--,Orthodox,5.0,1.0,0.0,
1054,Cesar,Gracie,,70.0,181,--,Orthodox,0.0,1.0,0.0,
1055,Roger,Gracie,,76.0,185,79.0,Orthodox,6.0,2.0,0.0,
1056,Igor,Gracie,,71.0,170,--,,4.0,2.0,0.0,
1057,Neiman,Gracie,,72.0,170,--,,6.0,0.0,0.0,
1058,Kron,Gracie,,69.0,145,--,,4.0,0.0,0.0,
1059,Steven,Graham,,73.0,290,--,Orthodox,2.0,1.0,0.0,
1060,Scott,Graham,,76.0,185,--,Orthodox,3.0,1.0,0.0,
1061,TJ,Grant,,70.0,155,72.0,Orthodox,21.0,5.0,0.0,
1062,Davey,Grant,Dangerous,68.0,135,69.0,,10.0,4.0,0.0,
1063,Dwight,Grant,The Body Snatcher,73.0,170,78.0,Switch,8.0,2.0,0.0,
1064,Alexa,Grasso,,65.0,115,66.0,Orthodox,10.0,2.0,0.0,
1065,Michael,Graves,,70.0,170,71.0,,6.0,0.0,1.0,
1066,Shelton,Graves,The Gravedigger,74.0,255,76.0,Southpaw,7.0,3.0,0.0,
1067,James,Gray,The Phenom,69.0,135,--,Orthodox,4.0,1.0,0.0,
1068,Kevin,Gray,Pocket Herc,64.0,125,67.0,Orthodox,9.0,4.0,0.0,
1069,Sam,Greco,,74.0,205,--,Orthodox,3.0,1.0,1.0,
1070,Bobby,Green,King,70.0,155,71.0,Orthodox,24.0,9.0,1.0,
1071,Desmond,Green,The Predator,70.0,155,73.0,Southpaw,21.0,8.0,0.0,
1072,Maurice,Greene,The Crochet Boss,79.0,258,82.0,,6.0,3.0,0.0,
1073,Matt,Grice,The Real One,68.0,145,70.0,Orthodox,15.0,5.0,0.0,
1074,Forrest,Griffin,,75.0,205,77.0,Orthodox,19.0,7.0,0.0,
1075,Tyson,Griffin,,66.0,145,68.0,Orthodox,15.0,6.0,0.0,
1076,Max,Griffin,Pain,71.0,170,76.0,Orthodox,14.0,5.0,0.0,
1077,Jordan,Griffin,NativePsycho,70.0,145,72.0,Southpaw,17.0,6.0,0.0,
1078,Chad,Griggs,The Grave Digger,73.0,205,73.0,Orthodox,11.0,3.0,0.0,
1079,Chuck,Grigsby,The Reverend,78.0,205,--,Orthodox,19.0,8.0,0.0,
1080,Rodrigo,Gripp de Sousa,Riscado,71.0,205,--,Orthodox,7.0,9.0,0.0,
1081,Josh,Grispi,The Fluke,71.0,145,74.0,Orthodox,14.0,5.0,0.0,
1082,Garrett,Gross,Glory to God,69.0,155,69.0,Orthodox,11.0,6.0,0.0,
1083,Kendall,Grove,Da Spyder,78.0,185,79.0,Orthodox,13.0,10.0,0.0,
1084,Neil,Grove,Goliath,78.0,265,--,Orthodox,11.0,5.0,1.0,
1085,Chris,Gruetzemacher,Gritz,68.0,155,68.0,Orthodox,14.0,3.0,0.0,
1086,Vik,Grujic,The Spartan,71.0,170,73.0,Orthodox,7.0,6.0,0.0,
1087,Wang,Guan,The Dongbei Tiger,69.0,145,71.0,Orthodox,20.0,1.0,1.0,
1088,Nandor,Guelmino,The Hun,75.0,230,76.0,,11.0,5.0,1.0,
1089,Fabricio,Guerreiro,,70.0,145,--,,21.0,5.0,0.0,
1090,Shannon,Gugerty,,70.0,155,71.0,Orthodox,14.0,6.0,0.0,
1091,Clay,Guida,The Carpenter,67.0,155,70.0,Orthodox,34.0,15.0,0.0,
1092,Melvin,Guillard,The Young Assassin,69.0,155,68.0,Orthodox,48.0,15.0,3.0,
1093,Chris,Guillen,,72.0,240,--,Orthodox,13.0,12.0,0.0,
1094,Marcelo,Guimaraes,Magrao,72.0,185,73.0,Orthodox,9.0,2.0,1.0,
1095,Leonardo,Augusto Leleco,Leleco,72.0,185,73.0,Orthodox,11.0,3.0,0.0,
1096,Brad,Gumm,,71.0,170,--,Orthodox,10.0,6.0,1.0,
1097,John,Gunderson,Quick Guns,69.0,155,69.0,Orthodox,32.0,12.0,2.0,
1098,John,Gunther,The Machine,69.0,155,72.0,Orthodox,7.0,2.0,0.0,
1099,Jorge,Gurgel,,67.0,155,69.0,Orthodox,14.0,9.0,0.0,
1100,Fabio,Gurgel,,72.0,205,--,Orthodox,3.0,2.0,0.0,
1101,Andre,Gusmao,,72.0,205,--,Orthodox,6.0,3.0,0.0,
1102,Alexander,Gustafsson,The Mauler,77.0,205,79.0,Orthodox,18.0,5.0,0.0,
1103,Justin,Guthrie,,73.0,170,--,,18.0,9.0,0.0,
1104,Horacio,Gutierrez,The Punisher,70.0,145,69.0,,3.0,3.0,0.0,
1105,Chris,Gutierrez,El Guapo,69.0,135,69.0,Orthodox,12.0,3.0,0.0,
1106,Mike,Guymon,The Joker,72.0,170,74.0,Orthodox,12.0,5.0,1.0,
1108,Keith,Hackney,The Giant Killer,71.0,200,--,Sideways,2.0,2.0,0.0,
1109,Steve,Hadsel,,68.0,170,--,,3.0,0.0,0.0,
1110,Damir,Hadzovic,The Bosnian Bomber,69.0,155,70.0,Orthodox,12.0,4.0,0.0,
1111,Tim,Hague,The Trashing Machine,76.0,260,76.0,Orthodox,13.0,5.0,0.0,
1112,Yazan,Hajeh,Yazzle Dazzle,69.0,145,73.0,Orthodox,6.0,1.0,0.0,
1113,Stoney,Hale,The Skuller,72.0,--,--,,4.0,2.0,0.0,
1114,Kevin,Haley,The North Woods Nightmare,74.0,205,--,,6.0,4.0,0.0,
1115,Mark,Hall,,72.0,190,--,Orthodox,5.0,6.0,0.0,
1116,Uriah,Hall,Prime Time,72.0,185,79.0,Orthodox,15.0,9.0,0.0,
1117,Ryan,Hall,The Wizard,70.0,155,71.0,,7.0,1.0,0.0,
1118,Dennis,Hallman,Superman,69.0,155,72.0,Orthodox,67.0,14.0,2.0,
1119,Piotr,Hallmann,Pletwal,69.0,155,71.0,Orthodox,15.0,5.0,0.0,
1120,Tony,Halme,,75.0,300,--,Orthodox,0.0,4.0,0.0,
1121,Brandon,Halsey,Bull,72.0,185,--,,9.0,3.0,0.0,
1122,John,Halverson,The Hurricane,69.0,155,--,Southpaw,16.0,7.0,0.0,
1123,Seohee,Ham,,62.0,115,62.0,Southpaw,16.0,8.0,0.0,
1124,Frank,Hamaker,,,--,--,,1.0,0.0,0.0,
1125,Kazuhiro,Hamanaka,,72.0,185,--,Southpaw,5.0,7.0,1.0,
1126,Matt,Hamill,The Hammer,73.0,205,76.0,Orthodox,12.0,5.0,0.0,
1127,Jeremy,Hamilton,Hawk,,185,--,,8.0,1.0,0.0,
1128,Anthony,Hamilton,Freight Train,77.0,260,76.0,Orthodox,15.0,9.0,0.0,
1129,CJ,Hamilton,The Autobot,67.0,125,68.0,Switch,11.0,4.0,0.0,
1130,Jared,Hamman,The Messenger,75.0,185,75.0,Orthodox,13.0,6.0,0.0,
1131,James,Hammortree,The Sledge,75.0,185,--,Orthodox,6.0,2.0,0.0,
1132,Dean,Hancock,The Hammer,,155,--,,2.0,1.0,0.0,
