,first,last,nickname,height_inches,weight_lbs,reach_inches,stance,win,loss,draw,belt
2442,Ricco,Rodriguez,Suave,76.0,265,--,Orthodox,47.0,13.0,0.0,
2443,Manuel,Rodriguez,Chalate,69.0,170,68.0,Orthodox,10.0,4.0,0.0,
2444,Yair,Rodriguez,El Pantera,71.0,145,71.0,,12.0,2.0,0.0,
2445,Mike,Rodriguez,Slo Mike,76.0,205,82.0,Southpaw,10.0,3.0,0.0,
2446,Nick,Roehrick,,74.0,205,75.0,Orthodox,7.0,1.0,0.0,
2447,Marcos,Rogerio de Lima,Pezao,73.0,205,75.0,Orthodox,16.0,6.0,1.0,
2448,Brett,Rogers,The Grim,77.0,265,81.0,Orthodox,11.0,4.0,0.0,
2449,Brian,Rogers,The Professional Predator,71.0,185,--,,11.0,8.0,0.0,
2450,Pete,Rogers Jr.,The Heat,72.0,145,--,,2.0,4.0,0.0,
2451,Shane,Roller,,70.0,155,72.0,Orthodox,11.0,7.0,0.0,
2452,Jared,Rollins,J-Roc,69.0,170,--,Orthodox,8.0,4.0,0.0,
2453,Tim,Roman,,73.0,170,--,,3.0,4.0,0.0,
2454,Ricardo,Romero,,72.0,205,76.0,Orthodox,11.0,3.0,0.0,
2455,Yoel,Romero,Soldier of God,72.0,185,73.0,Southpaw,13.0,3.0,0.0,
2456,Mara,Romero Borella,Kunoichici,66.0,125,69.0,Orthodox,12.0,5.0,0.0,
2457,Jesse,Ronson,The Body Snatcher,70.0,155,72.0,Southpaw,19.0,8.0,0.0,
2458,George,Roop,,73.0,135,72.0,Orthodox,15.0,13.0,1.0,
2459,Joao,Roque,,66.0,155,--,Orthodox,7.0,2.0,4.0,
2460,Aaron,Rosa,,76.0,205,78.0,Orthodox,17.0,5.0,0.0,
2461,Charles,Rosa,Boston Strong,69.0,145,69.0,Switch,11.0,3.0,0.0,
2462,Marcos,Rosa,Dhalsim,73.0,155,--,,6.0,4.0,0.0,
2463,Jake,Rosholt,,73.0,185,--,Orthodox,12.0,3.0,0.0,
2464,Jared,Rosholt,,74.0,265,75.0,Orthodox,14.0,3.0,0.0,
2465,Kevin,Rosier,,76.0,275,--,Orthodox,2.0,6.0,0.0,
2466,Zach,Rosol,,,243,--,,3.0,2.0,0.0,
2467,Nick,Rossborough,Leatherface,77.0,205,--,,20.0,15.0,1.0,
2468,Kristian,Rothaermel,,72.0,205,--,Open Stance,4.0,3.0,0.0,
2469,Ben,Rothwell,,76.0,265,78.0,Orthodox,36.0,10.0,0.0,
2470,Rick,Roufus,,72.0,207,--,Southpaw,4.0,6.0,0.0,
2471,Khalil,Rountree Jr.,The War Horse,73.0,205,76.0,Southpaw,8.0,2.0,0.0,
2472,Ronda,Rousey,Rowdy,67.0,135,68.0,Orthodox,12.0,2.0,0.0,
2473,Ray,Routh,,68.0,185,--,Orthodox,2.0,1.0,0.0,
2474,Roberta,Rovel,Crusher,68.0,145,--,,4.0,1.0,0.0,
2475,Kain,Royer,,,185,--,,2.0,2.0,0.0,
2476,Brad,Royster,,,135,--,,1.0,2.0,0.0,
2477,Jair,Rozenstruik,,74.0,248,--,,5.0,0.0,0.0,
2478,Mauricio,Rua,Shogun,73.0,205,76.0,Orthodox,26.0,11.0,0.0,
2479,Murilo,Rua,Ninja,71.0,185,--,Orthodox,20.0,12.0,1.0,
2480,Marco,Ruas,King of the Streets,73.0,210,--,Orthodox,9.0,4.0,2.0,
2481,Rodrigo,Ruas,,70.0,185,--,Orthodox,4.0,5.0,1.0,
2482,Rodolfo,Rubio,Fito,65.0,145,66.0,Orthodox,12.0,8.0,1.0,
2483,Gabe,Ruediger,Godzilla,70.0,155,--,Orthodox,17.0,7.0,0.0,
2484,Eddie,Ruiz,,67.0,155,--,Orthodox,1.0,1.0,0.0,
2485,Anthony,Ruiz,El Toro,74.0,205,--,Orthodox,27.0,16.0,0.0,
2486,Paul,Ruiz,,66.0,135,--,,7.0,3.0,0.0,
2487,Mike,Russow,,73.0,255,73.0,Orthodox,15.0,3.0,0.0,
2488,Bas,Rutten,El Guapo,73.0,205,--,Orthodox,28.0,4.0,1.0,
2489,Casey,Ryan,,,185,--,,3.0,3.0,0.0,
2491,Yusup,Saadulaev,Maestro,66.0,135,--,,8.0,1.0,1.0,
2492,Pete,Sabala,,,135,--,,3.0,13.0,0.0,
2493,Amir,Sadollah,,70.0,170,74.0,Orthodox,7.0,5.0,0.0,
2494,Frankie,Saenz,,66.0,135,66.0,Orthodox,13.0,5.0,0.0,
2495,Saparbeg,Safarov,,73.0,205,78.0,Orthodox,8.0,2.0,0.0,
