,hyper_opt_par,dict_type,dataset,num_obs,model_name,accuracy,precision,recall,roc_auc
168,"{'alpha': 0.0001981678487660481, 'fit_intercept': False}",ef_cumu_dfs_dict,Cumulative Data: 7 Fight Lookback Window,1348,Perceptron,0.5119151154336822,0.5075509226716044,0.5595693779904305,0.4969524473069713
169,"{'fit_intercept': True, 'loss': 'squared_hinge'}",ef_cumu_dfs_dict,Cumulative Data: 7 Fight Lookback Window,1348,SGDClassifier,0.5216052651232832,0.5178274471707942,0.4750740487582593,0.5185499108117659
170,{'activation': 'identity'},ef_cumu_dfs_dict,Cumulative Data: 7 Fight Lookback Window,1348,MLPClassifier,0.565314902963156,0.5589494476431492,0.5340168603326498,0.5834701972081082
171,"{'dual': True, 'fit_intercept': True}",ef_cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,LogisticRegression,0.5018753781004235,0.49315872806438843,0.4662907268170426,0.5369492001482373
172,"{'max_depth': 46, 'max_features': 46, 'n_estimators': 22}",ef_cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,RandomForestClassifier,0.5103448275862068,0.5039138521284603,0.4555764411027569,0.5264066708999267
173,"{'kernel': 'poly', 'shrinking': True}",ef_cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,SVC,0.5418027828191166,0.5581443556443556,0.34505012531328316,0.5760015358384272
174,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'n_neighbors': 18, 'weights': 'distance'}",ef_cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,KNeighborsClassifier,0.5256805807622504,0.5174531024531024,0.5083333333333333,0.5197286575585662
175,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}",ef_cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,DecisionTreeClassifier,0.5014519056261343,0.49207917129115797,0.5159147869674185,0.5017037406491096
176,{'var_smoothing': 0.0004165613097848049},ef_cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,GaussianNB,0.543859649122807,0.5353383458646616,0.537531328320802,0.5594171723874267
177,"{'alpha': 2.1091065599249337e-06, 'fit_intercept': True}",ef_cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,Perceptron,0.49827586206896546,0.4885909090909092,0.4479949874686717,0.4919043297899922
178,"{'fit_intercept': False, 'loss': 'squared_hinge'}",ef_cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,SGDClassifier,0.5105868118572292,0.5006652661064426,0.46992481203007513,0.512572360913974
179,{'activation': 'tanh'},ef_cumu_dfs_dict,Cumulative Data: 10 Fight Lookback Window,572,MLPClassifier,0.5752268602540835,0.5718903094314101,0.5552631578947368,0.5895110548141247
