,dict_type,dataset,num_obs,model_name,accuracy,precision,recall,roc_auc
35,cumu_dfs_dict,Exact Data: 4 Fight Lookback Window,2884,MLPClassifier,0.5489005632582322,0.5427117689827438,0.5316901408450704,0.5717333807887297
36,cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,LogisticRegression,0.5315872308834447,0.5246261385268581,0.5031674208144796,0.5492201477235343
37,cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,RandomForestClassifier,0.5137995545657016,0.5089239048471146,0.4108597285067873,0.5227845543040156
38,cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,SVC,0.5378054936896808,0.5334993490874195,0.4723981900452488,0.5446690883980486
39,cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,KNeighborsClassifier,0.5142568671121011,0.5074482117384779,0.379185520361991,0.5066532181884298
40,cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,DecisionTreeClassifier,0.4906607275426875,0.48075384453064496,0.47239819004524886,0.49037438039763404
41,cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,GaussianNB,0.5116010888393963,0.5081598093926539,0.7882352941176471,0.5329471424020344
42,cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,Perceptron,0.5169136352388023,0.5060277569813527,0.5158371040723981,0.528721141409908
43,cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,SGDClassifier,0.5057777777777778,0.4966287748312582,0.4760180995475113,0.5057547492592851
44,cumu_dfs_dict,Exact Data: 5 Fight Lookback Window,2248,MLPClassifier,0.5364860183122989,0.5306978895272906,0.49592760180995477,0.5540309209269692
45,cumu_dfs_dict,Exact Data: 6 Fight Lookback Window,1710,LogisticRegression,0.5479827103817956,0.5399461527643113,0.5474992955762186,0.5682215222165928
46,cumu_dfs_dict,Exact Data: 6 Fight Lookback Window,1710,RandomForestClassifier,0.5216308671213213,0.5164685718451454,0.4666948436179205,0.517829532683644
47,cumu_dfs_dict,Exact Data: 6 Fight Lookback Window,1710,SVC,0.5427280971995292,0.5364597856893065,0.5106861087630319,0.56685531894667
48,cumu_dfs_dict,Exact Data: 6 Fight Lookback Window,1710,KNeighborsClassifier,0.5268648509977639,0.5226087810749487,0.45958016342631725,0.5283760589687746
49,cumu_dfs_dict,Exact Data: 6 Fight Lookback Window,1710,DecisionTreeClassifier,0.5093123366398721,0.5015460934329442,0.507065370526909,0.5092731676234307
50,cumu_dfs_dict,Exact Data: 6 Fight Lookback Window,1710,GaussianNB,0.5333883614816362,0.5242548800397623,0.5689208227669766,0.548324309164376
51,cumu_dfs_dict,Exact Data: 6 Fight Lookback Window,1710,Perceptron,0.520457686598846,0.5150796785748345,0.4916384897154128,0.5184355781682564
52,cumu_dfs_dict,Exact Data: 6 Fight Lookback Window,1710,SGDClassifier,0.530423336254735,0.5269796240460478,0.48696111580726964,0.5286260238716121
53,cumu_dfs_dict,Exact Data: 6 Fight Lookback Window,1710,MLPClassifier,0.5415550566723429,0.5370556532036608,0.514264581572274,0.5639540217622814
54,cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,LogisticRegression,0.5646318269874149,0.5537612791435371,0.5734221918432445,0.5789495027105477
55,cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,RandomForestClassifier,0.5081674747354661,0.4984727467297797,0.4781157439052176,0.5161439112601233
56,cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,SVC,0.5638691583941862,0.5552344647879692,0.5311802232854864,0.5819750014805051
57,cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,KNeighborsClassifier,0.5340386521585165,0.5301397169029778,0.4674185463659148,0.5321048563051938
58,cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,DecisionTreeClassifier,0.49562410295726256,0.4828176918247998,0.4584757347915243,0.4948572474867386
59,cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,GaussianNB,0.5445546628948321,0.53195720738777,0.5840396445659604,0.5497566575551425
60,cumu_dfs_dict,Exact Data: 7 Fight Lookback Window,1348,Perceptron,0.5096572375884849,0.5028698756648466,0.4705172020961495,0.5116819642559174
