,Variable IDs,Variable Labels
162,f2_r4_sigstrikes_a,fighter 2 round 4 significant strikes attempts
163,f2_r4_strikes_l,fighter 2 round 4 strikes landed
164,f2_r4_strikes_a,fighter 2 round 4 strikes attempts
165,f2_r4_tds_l,fighter 2 round 4 takedowns landed
166,f2_r4_tds_a,fighter 2 round 4 takedowns attempts
167,f2_r4_subs_a,fighter 2 round 4 submissions attempts
168,f2_r4_passes,fighter 2 round 4 passes
169,f2_r4_revs,fighter 2 round 4 reversals
170,f2_r4_ss_head_l,fighter 2 round 4 significant strikes to the head landed
171,f2_r4_ss_head_a,fighter 2 round 4 significant strikes to the head attempts
172,f2_r4_ss_body_l,fighter 2 round 4 significant strikes to the body landed
173,f2_r4_ss_body_a,fighter 2 round 4 significant strikes to the body attempts
174,f2_r4_ss_leg_l,fighter 2 round 4 significant strikes to the leg landed
175,f2_r4_ss_leg_a,fighter 2 round 4 significant strikes to the leg attempts
176,f2_r4_ss_dist_l,fighter 2 round 4 significant strikes dist landed
177,f2_r4_ss_dist_a,fighter 2 round 4 significant strikes dist attempts
178,f2_r4_ss_clinch_l,fighter 2 round 4 significant strikes from clinch landed
179,f2_r4_ss_clinch_a,fighter 2 round 4 significant strikes from clinch attempts
180,f2_r4_ss_ground_l,fighter 2 round 4 significant strikes from ground landed
181,f2_r4_ss_ground_a,fighter 2 round 4 significant strikes from ground attempts
182,f1_r5_kds,fighter 1 round 5 knockdowns
183,f1_r5_sigstrikes_l,fighter 1 round 5 significant strikes landed
184,f1_r5_sigstrikes_a,fighter 1 round 5 significant strikes attempts
185,f1_r5_strikes_l,fighter 1 round 5 strikes landed
186,f1_r5_strikes_a,fighter 1 round 5 strikes attempts
187,f1_r5_tds_l,fighter 1 round 5 takedowns landed
188,f1_r5_tds_a,fighter 1 round 5 takedowns attempts
189,f1_r5_subs_a,fighter 1 round 5 submissions attempts
190,f1_r5_passes,fighter 1 round 5 passes
191,f1_r5_revs,fighter 1 round 5 reversals
192,f1_r5_ss_head_l,fighter 1 round 5 significant strikes to the head landed
193,f1_r5_ss_head_a,fighter 1 round 5 significant strikes to the head attempts
194,f1_r5_ss_body_l,fighter 1 round 5 significant strikes to the body landed
195,f1_r5_ss_body_a,fighter 1 round 5 significant strikes to the body attempts
196,f1_r5_ss_leg_l,fighter 1 round 5 significant strikes to the leg landed
197,f1_r5_ss_leg_a,fighter 1 round 5 significant strikes to the leg attempts
198,f1_r5_ss_dist_l,fighter 1 round 5 significant strikes dist landed
199,f1_r5_ss_dist_a,fighter 1 round 5 significant strikes dist attempts
200,f1_r5_ss_clinch_l,fighter 1 round 5 significant strikes from clinch landed
201,f1_r5_ss_clinch_a,fighter 1 round 5 significant strikes from clinch attempts
202,f1_r5_ss_ground_l,fighter 1 round 5 significant strikes from ground landed
203,f1_r5_ss_ground_a,fighter 1 round 5 significant strikes from ground attempts
204,f2_r5_kds,fighter 2 round 5 knockdowns
205,f2_r5_sigstrikes_l,fighter 2 round 5 significant strikes landed
206,f2_r5_sigstrikes_a,fighter 2 round 5 significant strikes attempts
207,f2_r5_strikes_l,fighter 2 round 5 strikes landed
208,f2_r5_strikes_a,fighter 2 round 5 strikes attempts
209,f2_r5_tds_l,fighter 2 round 5 takedowns landed
210,f2_r5_tds_a,fighter 2 round 5 takedowns attempts
211,f2_r5_subs_a,fighter 2 round 5 submissions attempts
212,f2_r5_passes,fighter 2 round 5 passes
213,f2_r5_revs,fighter 2 round 5 reversals
214,f2_r5_ss_head_l,fighter 2 round 5 significant strikes to the head landed
215,f2_r5_ss_head_a,fighter 2 round 5 significant strikes to the head attempts
216,f2_r5_ss_body_l,fighter 2 round 5 significant strikes to the body landed
217,f2_r5_ss_body_a,fighter 2 round 5 significant strikes to the body attempts
218,f2_r5_ss_leg_l,fighter 2 round 5 significant strikes to the leg landed
219,f2_r5_ss_leg_a,fighter 2 round 5 significant strikes to the leg attempts
220,f2_r5_ss_dist_l,fighter 2 round 5 significant strikes dist landed
221,f2_r5_ss_dist_a,fighter 2 round 5 significant strikes dist attempts
222,f2_r5_ss_clinch_l,fighter 2 round 5 significant strikes from clinch landed
223,f2_r5_ss_clinch_a,fighter 2 round 5 significant strikes from clinch attempts
224,f2_r5_ss_ground_l,fighter 2 round 5 significant strikes from ground landed
225,f2_r5_ss_ground_a,fighter 2 round 5 significant strikes from ground attempts
