,fighter_1,fighter_2,end_round,end_time,winner,date,fight_url,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f1_r1_ss_head_l,f1_r1_ss_head_a,f1_r1_ss_body_l,f1_r1_ss_body_a,f1_r1_ss_leg_l,f1_r1_ss_leg_a,f1_r1_ss_dist_l,f1_r1_ss_dist_a,f1_r1_ss_clinch_l,f1_r1_ss_clinch_a,f1_r1_ss_ground_l,f1_r1_ss_ground_a,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f2_r1_ss_head_l,f2_r1_ss_head_a,f2_r1_ss_body_l,f2_r1_ss_body_a,f2_r1_ss_leg_l,f2_r1_ss_leg_a,f2_r1_ss_dist_l,f2_r1_ss_dist_a,f2_r1_ss_clinch_l,f2_r1_ss_clinch_a,f2_r1_ss_ground_l,f2_r1_ss_ground_a,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f1_r2_ss_head_l,f1_r2_ss_head_a,f1_r2_ss_body_l,f1_r2_ss_body_a,f1_r2_ss_leg_l,f1_r2_ss_leg_a,f1_r2_ss_dist_l,f1_r2_ss_dist_a,f1_r2_ss_clinch_l,f1_r2_ss_clinch_a,f1_r2_ss_ground_l,f1_r2_ss_ground_a,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f2_r2_ss_head_l,f2_r2_ss_head_a,f2_r2_ss_body_l,f2_r2_ss_body_a,f2_r2_ss_leg_l,f2_r2_ss_leg_a,f2_r2_ss_dist_l,f2_r2_ss_dist_a,f2_r2_ss_clinch_l,f2_r2_ss_clinch_a,f2_r2_ss_ground_l,f2_r2_ss_ground_a,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f1_r3_ss_head_l,f1_r3_ss_head_a,f1_r3_ss_body_l,f1_r3_ss_body_a,f1_r3_ss_leg_l,f1_r3_ss_leg_a,f1_r3_ss_dist_l,f1_r3_ss_dist_a,f1_r3_ss_clinch_l,f1_r3_ss_clinch_a,f1_r3_ss_ground_l,f1_r3_ss_ground_a,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f2_r3_ss_head_l,f2_r3_ss_head_a,f2_r3_ss_body_l,f2_r3_ss_body_a,f2_r3_ss_leg_l,f2_r3_ss_leg_a,f2_r3_ss_dist_l,f2_r3_ss_dist_a,f2_r3_ss_clinch_l,f2_r3_ss_clinch_a,f2_r3_ss_ground_l,f2_r3_ss_ground_a,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f1_r4_ss_head_l,f1_r4_ss_head_a,f1_r4_ss_body_l,f1_r4_ss_body_a,f1_r4_ss_leg_l,f1_r4_ss_leg_a,f1_r4_ss_dist_l,f1_r4_ss_dist_a,f1_r4_ss_clinch_l,f1_r4_ss_clinch_a,f1_r4_ss_ground_l,f1_r4_ss_ground_a,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f2_r4_ss_head_l,f2_r4_ss_head_a,f2_r4_ss_body_l,f2_r4_ss_body_a,f2_r4_ss_leg_l,f2_r4_ss_leg_a,f2_r4_ss_dist_l,f2_r4_ss_dist_a,f2_r4_ss_clinch_l,f2_r4_ss_clinch_a,f2_r4_ss_ground_l,f2_r4_ss_ground_a,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f1_r5_ss_head_l,f1_r5_ss_head_a,f1_r5_ss_body_l,f1_r5_ss_body_a,f1_r5_ss_leg_l,f1_r5_ss_leg_a,f1_r5_ss_dist_l,f1_r5_ss_dist_a,f1_r5_ss_clinch_l,f1_r5_ss_clinch_a,f1_r5_ss_ground_l,f1_r5_ss_ground_a,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs,f2_r5_ss_head_l,f2_r5_ss_head_a,f2_r5_ss_body_l,f2_r5_ss_body_a,f2_r5_ss_leg_l,f2_r5_ss_leg_a,f2_r5_ss_dist_l,f2_r5_ss_dist_a,f2_r5_ss_clinch_l,f2_r5_ss_clinch_a,f2_r5_ss_ground_l,f2_r5_ss_ground_a
2675,"Dennis Bermudez ""The Menace""","Max Holloway ""Blessed""",3,5:00,"Dennis Bermudez ""The Menace""",2013-05-25,http://ufcstats.com/fight-details/149a0b38fa02e647,0,19,58,19,58,0,3,0,0,0,10,47,4,6,5,5,17,55,2,3,0,0,0,23,64,24,65,0,0,0,0,0,10,47,4,6,5,5,17,55,2,3,0,0,0,19,58,19,58,0,3,0,0,0,20,59,3,5,0,0,21,59,2,5,0,0,0,28,73,30,75,0,0,0,1,0,11,58,1,2,6,6,15,61,2,3,1,2,0,18,66,20,68,1,3,0,1,0,24,64,3,8,1,1,25,70,3,3,0,0,0,24,56,25,57,0,1,0,0,0,26,89,5,7,5,5,19,69,2,4,15,28,0,36,101,39,105,3,3,0,2,0,20,50,3,5,1,1,24,56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2676,Colton Smith,"Robert Whittaker ""The Reaper""",3,0:41,Colton Smith,2013-05-25,http://ufcstats.com/fight-details/3333fdbe86a763fb,1,20,40,20,40,0,4,1,0,0,11,28,4,6,5,6,16,33,4,7,0,0,0,17,45,17,45,1,1,0,0,0,11,28,4,6,5,6,16,33,4,7,0,0,1,20,40,20,40,0,4,1,0,0,17,45,0,0,0,0,15,40,2,5,0,0,1,28,56,29,57,0,0,0,0,0,7,35,2,4,3,4,9,39,3,4,0,0,0,12,43,12,43,0,2,0,0,0,28,56,0,0,0,0,19,39,9,17,0,0,1,8,12,8,12,0,0,0,0,0,0,6,0,0,1,2,1,8,0,0,0,0,0,1,8,1,8,0,0,0,0,0,8,12,0,0,0,0,6,9,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2677,"Khabib Nurmagomedov ""The Eagle""","Abel Trujillo ""Killa""",3,5:00,"Khabib Nurmagomedov ""The Eagle""",2013-05-25,http://ufcstats.com/fight-details/e1d33aa47b35d021,0,4,9,6,13,7,8,2,0,0,2,6,1,2,1,1,1,3,1,3,2,3,0,2,10,4,12,1,1,0,1,0,2,6,1,2,1,1,1,3,1,3,2,3,0,4,9,6,13,7,8,2,0,0,1,9,1,1,0,0,1,9,0,0,1,1,0,8,17,10,19,0,0,0,0,0,9,15,1,1,3,3,5,8,1,1,7,10,0,13,19,27,33,5,8,0,1,0,7,16,1,1,0,0,3,11,3,3,2,3,0,1,3,4,8,0,0,0,0,0,5,11,1,1,0,0,0,0,0,0,6,12,0,6,12,13,22,9,11,0,2,0,0,2,1,1,0,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,"Stephen Thompson ""Wonderboy""","Nah-Shon Burrell ""The Rock n Rolla""",3,5:00,"Stephen Thompson ""Wonderboy""",2013-05-25,http://ufcstats.com/fight-details/a6ba04a54eb7e8fa,0,15,32,27,45,1,2,0,1,0,5,18,7,11,3,3,9,23,6,9,0,0,0,18,35,33,50,0,1,0,0,0,5,18,7,11,3,3,9,23,6,9,0,0,0,15,32,27,45,1,2,0,1,0,3,18,15,17,0,0,2,15,16,20,0,0,0,15,34,19,38,0,0,0,0,0,9,32,10,10,3,5,17,41,5,6,0,0,0,22,47,26,51,0,1,0,0,0,7,24,7,9,1,1,6,20,9,14,0,0,0,23,52,26,56,0,0,0,0,0,16,40,11,14,1,1,23,48,5,7,0,0,0,28,55,34,62,1,1,0,0,0,16,40,7,12,0,0,16,39,7,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,Brian Bowles,George Roop,2,1:43,Brian Bowles,2013-05-25,http://ufcstats.com/fight-details/1260d0031a5e469d,1,20,60,24,64,0,0,1,1,1,16,53,4,7,0,0,17,55,0,1,3,4,0,25,66,27,69,0,0,0,0,0,16,53,4,7,0,0,17,55,0,1,3,4,1,20,60,24,64,0,0,1,1,1,18,55,5,8,2,3,23,62,2,4,0,0,1,19,34,19,34,0,0,0,0,0,4,12,0,0,0,0,4,12,0,0,0,0,0,4,12,4,12,0,0,0,0,0,14,25,4,5,1,4,9,21,0,0,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680,"Jeremy Stephens ""Lil' Heathen""","Estevan Payan ""El Terrible""",3,5:00,"Jeremy Stephens ""Lil' Heathen""",2013-05-25,http://ufcstats.com/fight-details/172dfd6cab9b627b,0,16,34,18,36,2,4,0,0,0,7,16,1,4,8,14,11,28,1,2,4,4,0,11,42,14,46,0,0,1,0,0,7,16,1,4,8,14,11,28,1,2,4,4,0,16,34,18,36,2,4,0,0,0,5,28,3,6,3,8,7,36,4,5,0,1,0,6,25,12,31,0,0,0,0,0,7,12,2,2,3,3,6,9,0,0,6,8,0,12,17,22,28,2,2,1,2,0,4,18,1,3,1,4,3,22,3,3,0,0,0,8,27,20,41,0,0,0,0,0,10,25,8,9,3,3,7,20,0,1,14,16,0,21,37,42,59,2,4,0,1,0,5,24,1,1,2,2,6,24,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2681,"Vitor Belfort ""The Phenom""",Luke Rockhold,1,2:32,"Vitor Belfort ""The Phenom""",2013-05-18,http://ufcstats.com/fight-details/110d18c0953bde1d,1,9,20,10,21,0,0,0,0,0,8,18,0,1,1,1,4,14,0,0,5,6,0,6,15,6,15,0,1,0,0,0,8,18,0,1,1,1,4,14,0,0,5,6,1,9,20,10,21,0,0,0,0,0,2,8,0,2,4,5,6,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,"Jacare Souza ""Jacare""",Chris Camozzi,1,3:37,"Jacare Souza ""Jacare""",2013-05-18,http://ufcstats.com/fight-details/ac269f99e4e53634,0,8,16,12,21,1,3,1,4,1,8,14,0,2,0,0,2,6,0,1,6,9,0,4,14,10,21,0,0,0,0,0,8,14,0,2,0,0,2,6,0,1,6,9,0,8,16,12,21,1,3,1,4,1,3,13,0,0,1,1,3,10,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,Rafael Dos Anjos,Evan Dunham,3,5:00,Rafael Dos Anjos,2013-05-18,http://ufcstats.com/fight-details/05f8696303709939,0,20,40,30,51,0,0,0,0,0,9,25,6,9,5,6,18,37,2,3,0,0,0,12,63,25,77,1,1,0,0,0,9,25,6,9,5,6,18,37,2,3,0,0,0,20,40,30,51,0,0,0,0,0,11,59,0,2,1,2,9,57,1,2,2,4,0,19,84,21,86,2,3,0,0,0,13,46,2,5,5,7,17,54,3,4,0,0,0,20,58,24,62,0,2,0,0,0,16,78,1,4,2,2,18,81,1,3,0,0,0,37,123,44,132,0,3,0,0,0,13,66,7,12,6,7,21,76,5,9,0,0,0,26,85,32,91,0,0,0,0,0,33,116,4,7,0,0,28,109,9,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2684,"Rafael Natal ""Sapo""","Joao Zeferino ""The Brazilian Samurai""",3,5:00,"Rafael Natal ""Sapo""",2013-05-18,http://ufcstats.com/fight-details/59bb17087b12ad35,0,3,13,24,37,0,1,0,0,0,2,10,1,1,0,2,0,9,1,1,2,3,0,5,14,11,22,0,0,2,1,0,2,10,1,1,0,2,0,9,1,1,2,3,0,3,13,24,37,0,1,0,0,0,4,10,0,1,1,3,5,14,0,0,0,0,0,6,16,7,17,0,2,0,0,0,5,17,4,5,4,8,5,20,4,4,4,6,0,13,30,32,51,0,0,0,0,0,5,14,1,1,0,1,6,16,0,0,0,0,0,3,10,4,11,0,0,0,0,0,10,19,0,1,3,4,3,10,0,0,10,14,0,13,24,56,74,1,1,0,6,0,3,9,0,1,0,0,3,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2685,"Hacran Dias ""Barnabe""","Nik Lentz ""The Carny""",3,5:00,"Hacran Dias ""Barnabe""",2013-05-18,http://ufcstats.com/fight-details/cf5f9da861c5e63f,0,10,29,15,34,0,2,0,0,0,7,25,0,1,3,3,8,27,2,2,0,0,0,13,41,15,43,1,8,0,0,0,7,25,0,1,3,3,8,27,2,2,0,0,0,10,29,15,34,0,2,0,0,0,11,38,0,1,2,2,11,39,2,2,0,0,1,23,34,38,49,3,5,0,6,0,5,11,1,1,0,0,3,7,1,3,2,2,0,6,12,9,15,0,0,0,0,0,19,28,2,3,2,3,2,7,3,4,18,23,0,6,20,8,22,0,4,0,0,0,24,45,0,0,0,0,14,32,8,11,2,2,0,24,45,32,54,1,1,1,2,0,4,18,2,2,0,0,4,15,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2686,"Francisco Trinaldo ""Massaranduba""","Mike Rio ""The Wolverine""",1,3:08,"Francisco Trinaldo ""Massaranduba""",2013-05-18,http://ufcstats.com/fight-details/91f33ac24fb39eca,0,5,8,6,9,1,1,1,1,0,3,4,2,4,0,0,3,4,2,4,0,0,0,5,11,8,14,1,3,0,0,0,3,4,2,4,0,0,3,4,2,4,0,0,0,5,8,6,9,1,1,1,1,0,1,5,4,5,0,1,1,6,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,Gleison Tibau,John Cholish,2,2:34,Gleison Tibau,2013-05-18,http://ufcstats.com/fight-details/edc4e54d5258eea8,0,16,43,18,45,2,3,0,0,0,11,37,4,5,1,1,9,36,6,6,1,1,0,7,14,7,14,0,0,0,0,0,11,37,4,5,1,1,9,36,6,6,1,1,0,16,43,18,45,2,3,0,0,0,2,7,2,4,3,3,7,13,0,1,0,0,0,2,12,2,12,0,1,0,0,0,4,22,1,2,0,0,5,23,0,1,0,0,0,5,24,5,24,0,1,1,0,0,0,8,1,2,1,2,2,10,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,Paulo Thiago,"Michel Prazeres ""Tractor""",3,5:00,Paulo Thiago,2013-05-18,http://ufcstats.com/fight-details/4b4c4df2778538d9,0,16,29,21,34,0,0,0,0,0,4,15,5,7,7,7,7,20,9,9,0,0,0,10,23,13,27,1,6,0,0,0,4,15,5,7,7,7,7,20,9,9,0,0,0,16,29,21,34,0,0,0,0,0,3,12,2,6,5,5,7,20,2,2,1,1,0,4,6,7,11,2,2,0,0,0,5,15,6,6,0,0,3,11,2,2,6,8,0,11,21,36,48,1,2,0,2,0,1,2,1,2,2,2,4,5,0,1,0,0,0,16,34,16,34,0,4,0,0,0,13,35,5,6,1,1,10,28,7,9,2,5,0,19,42,41,66,1,2,0,2,0,11,27,1,2,4,5,14,31,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,"Iuri Alcantara ""Marajo""",Iliarde Santos,1,2:31,"Iuri Alcantara ""Marajo""",2013-05-18,http://ufcstats.com/fight-details/019b88d4ac875ae4,0,19,37,23,41,0,0,0,0,0,16,34,3,3,0,0,11,28,2,2,6,7,0,3,10,4,11,0,2,0,0,0,16,34,3,3,0,0,11,28,2,2,6,7,0,19,37,23,41,0,0,0,0,0,0,4,0,3,3,3,2,9,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,"Fabio Maldonado ""Caipira de Aco""","Roger Hollett ""The Hulk""",3,5:00,"Fabio Maldonado ""Caipira de Aco""",2013-05-18,http://ufcstats.com/fight-details/11249454ed5fd71f,0,5,18,11,24,0,0,0,0,0,2,13,3,5,0,0,3,15,2,3,0,0,0,5,8,6,9,2,2,0,2,0,2,13,3,5,0,0,3,15,2,3,0,0,0,5,18,11,24,0,0,0,0,0,1,3,2,3,2,2,3,6,1,1,1,1,0,17,24,17,24,0,3,0,0,0,14,25,24,28,0,0,11,24,27,29,0,0,0,38,53,67,84,0,1,0,0,0,9,15,6,7,2,2,9,15,8,9,0,0,0,7,12,9,14,0,2,0,0,0,28,45,29,35,0,0,12,23,37,48,8,9,0,57,80,78,103,1,1,0,0,0,4,9,2,2,1,1,0,4,7,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,"John Lineker ""Hands of Stone""",Azamat Gashimov,2,1:07,"John Lineker ""Hands of Stone""",2013-05-18,http://ufcstats.com/fight-details/8aff100107d0ba11,2,20,54,29,65,0,0,0,0,0,13,44,6,8,1,2,10,32,4,5,6,17,0,6,27,7,28,0,3,0,0,0,13,44,6,8,1,2,10,32,4,5,6,17,2,20,54,29,65,0,0,0,0,0,4,23,1,3,1,1,4,24,0,1,2,2,0,1,11,1,11,0,0,0,0,0,8,16,8,9,0,1,11,19,0,0,5,7,1,16,26,17,27,0,0,0,0,0,1,10,0,1,0,0,1,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,"Jussier Formiga ""Formiga""","Chris Cariaso ""Kamikaze""",3,5:00,"Jussier Formiga ""Formiga""",2013-05-18,http://ufcstats.com/fight-details/caa56c26127bf7e8,0,3,7,6,11,2,3,0,2,0,1,5,0,0,2,2,3,7,0,0,0,0,0,2,17,11,26,0,0,0,0,0,1,5,0,0,2,2,3,7,0,0,0,0,0,3,7,6,11,2,3,0,2,0,0,12,2,4,0,1,0,15,2,2,0,0,0,7,29,24,46,0,0,0,0,0,4,11,1,2,1,1,1,8,0,0,5,6,0,6,14,26,34,1,2,0,4,0,3,21,4,8,0,0,3,24,4,5,0,0,0,17,44,29,57,1,1,1,2,0,0,4,0,0,1,1,1,5,0,0,0,0,0,1,5,1,5,1,3,0,0,0,12,36,5,8,0,0,3,19,5,6,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,"Lucas Martins ""Mineiro""",Jeremy Larsen,3,0:13,"Lucas Martins ""Mineiro""",2013-05-18,http://ufcstats.com/fight-details/eacfc05c3e5ead5e,0,17,46,20,49,0,0,0,0,0,12,41,2,2,3,3,14,37,3,9,0,0,1,17,43,24,51,2,4,0,0,0,12,41,2,2,3,3,14,37,3,9,0,0,0,17,46,20,49,0,0,0,0,0,16,42,1,1,0,0,11,30,2,7,4,6,0,31,61,31,61,0,3,0,0,0,12,53,3,3,3,3,17,55,1,4,0,0,0,18,59,20,61,0,0,0,0,0,28,56,0,1,3,4,23,47,8,14,0,0,0,4,4,4,4,0,0,0,0,0,4,6,0,0,0,0,2,4,0,0,2,2,1,4,6,4,6,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,"Jon Jones ""Bones""",Chael Sonnen,1,4:33,"Jon Jones ""Bones""",2013-04-27,http://ufcstats.com/fight-details/8151421edf24a821,0,20,27,35,43,3,6,0,0,0,16,22,4,5,0,0,0,1,5,7,15,19,0,6,15,38,51,0,0,0,0,0,16,22,4,5,0,0,0,1,5,7,15,19,0,20,27,35,43,3,6,0,0,0,0,5,6,9,0,1,0,5,6,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,"Michael Bisping ""The Count""","Alan Belcher ""The Talent""",3,4:31,"Michael Bisping ""The Count""",2013-04-27,http://ufcstats.com/fight-details/1ac61e415deca2fe,0,23,56,23,56,0,0,0,0,0,11,42,2,2,10,12,22,54,1,2,0,0,0,13,49,13,49,0,1,0,0,0,11,42,2,2,10,12,22,54,1,2,0,0,0,23,56,23,56,0,0,0,0,0,3,28,4,11,6,10,13,49,0,0,0,0,0,10,49,10,49,0,1,0,0,0,24,69,0,2,12,14,36,85,0,0,0,0,0,36,85,36,85,0,0,0,0,0,6,39,1,4,3,6,10,49,0,0,0,0,0,6,52,6,52,0,1,0,0,0,29,76,1,3,4,5,34,82,0,2,0,0,0,34,84,35,85,0,0,0,0,0,2,44,2,4,2,4,6,52,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,"Roy Nelson ""Big Country""",Cheick Kongo,1,2:03,"Roy Nelson ""Big Country""",2013-04-27,http://ufcstats.com/fight-details/04e6a26fe2a4017d,1,2,5,3,6,0,0,0,0,0,2,4,0,1,0,0,1,2,0,2,1,1,0,4,6,8,10,0,0,0,0,0,2,4,0,1,0,0,1,2,0,2,1,1,1,2,5,3,6,0,0,0,0,0,0,2,2,2,2,2,2,4,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,"Phil Davis ""Mr. Wonderful""","Vinny Magalhaes ""Pezao""",3,5:00,"Phil Davis ""Mr. Wonderful""",2013-04-27,http://ufcstats.com/fight-details/c29850ed8d9d1073,0,32,97,33,98,0,0,0,0,0,28,92,2,3,2,2,30,95,2,2,0,0,0,11,62,12,63,1,1,0,0,0,28,92,2,3,2,2,30,95,2,2,0,0,0,32,97,33,98,0,0,0,0,0,5,50,0,3,6,9,11,60,0,0,0,2,0,10,43,10,43,0,1,0,0,0,24,88,2,6,0,0,26,93,0,0,0,1,0,26,94,27,95,0,1,0,0,0,5,35,0,0,5,8,10,43,0,0,0,0,0,8,46,8,46,0,1,0,0,0,20,73,1,4,0,0,21,77,0,0,0,0,0,21,77,23,79,0,0,0,0,0,4,37,1,3,3,6,8,46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,"Jim Miller ""A-10""","Pat Healy ""Bam Bam""",3,4:02,No Winner,2013-04-27,http://ufcstats.com/fight-details/bb59b82bddc96cca,0,18,34,25,41,1,1,0,0,1,14,29,1,2,3,3,6,18,2,5,10,11,0,13,34,31,53,2,2,0,0,0,14,29,1,2,3,3,6,18,2,5,10,11,0,18,34,25,41,1,1,0,0,1,11,29,2,4,0,1,5,20,4,7,4,7,0,24,37,51,65,2,3,1,2,0,3,9,1,1,1,2,1,8,2,2,2,2,0,5,12,11,18,0,0,0,0,0,16,29,7,7,1,1,6,10,8,10,10,17,0,16,24,53,66,1,2,1,2,0,1,7,1,2,2,2,4,11,0,0,0,0,0,4,11,5,12,0,0,0,0,0,14,21,1,2,1,1,9,13,4,5,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,"Rustam Khabilov ""Tiger""",Yancy Medeiros,1,2:32,"Rustam Khabilov ""Tiger""",2013-04-27,http://ufcstats.com/fight-details/59ad5b88804afbf5,0,3,17,4,18,1,2,0,0,0,2,13,0,3,1,1,3,17,0,0,0,0,0,4,18,4,18,0,0,0,0,0,2,13,0,3,1,1,3,17,0,0,0,0,0,3,17,4,18,1,2,0,0,0,1,12,1,4,2,2,4,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
